Dataset,Model,n_neighbors,weights,metric,predict_accuracy,predict_f1,predict_precision,predict_recall
toxigen,bart-large,1,uniform,minkowski,0.8,0.647940074906367,0.6091549295774648,0.692
toxigen,bart-large,1,uniform,cosine,0.8053191489361702,0.6666666666666666,0.6443661971830986,0.690566037735849
toxigen,bart-large,1,distance,minkowski,0.8,0.647940074906367,0.6091549295774648,0.692
toxigen,bart-large,1,distance,cosine,0.8053191489361702,0.6666666666666666,0.6443661971830986,0.690566037735849
toxigen,bart-large,3,uniform,minkowski,0.8191489361702128,0.690909090909091,0.6690140845070423,0.7142857142857143
toxigen,bart-large,3,uniform,cosine,0.8106382978723404,0.6866197183098591,0.6866197183098591,0.6866197183098591
toxigen,bart-large,3,distance,minkowski,0.8170212765957446,0.6861313868613139,0.6619718309859155,0.7121212121212122
toxigen,bart-large,3,distance,cosine,0.8138297872340425,0.6880570409982174,0.6795774647887324,0.6967509025270758
toxigen,bart-large,5,uniform,minkowski,0.8159574468085107,0.6860254083484574,0.6654929577464789,0.7078651685393258
toxigen,bart-large,5,uniform,cosine,0.8127659574468085,0.6890459363957597,0.6866197183098591,0.6914893617021277
toxigen,bart-large,5,distance,minkowski,0.8159574468085107,0.6837294332723949,0.6584507042253521,0.7110266159695817
toxigen,bart-large,5,distance,cosine,0.8148936170212766,0.6903914590747331,0.6830985915492958,0.697841726618705
toxigen,bart-large,7,uniform,minkowski,0.825531914893617,0.6996336996336996,0.6725352112676056,0.7290076335877863
toxigen,bart-large,7,uniform,cosine,0.8191489361702128,0.6996466431095406,0.6971830985915493,0.7021276595744681
toxigen,bart-large,7,distance,minkowski,0.8276595744680851,0.7032967032967034,0.676056338028169,0.732824427480916
toxigen,bart-large,7,distance,cosine,0.8212765957446808,0.701067615658363,0.6936619718309859,0.7086330935251799
toxigen,bart-large,9,uniform,minkowski,0.8212765957446808,0.6945454545454547,0.6725352112676056,0.7180451127819549
toxigen,bart-large,9,uniform,cosine,0.8138297872340425,0.6935201401050789,0.6971830985915493,0.6898954703832753
toxigen,bart-large,9,distance,minkowski,0.825531914893617,0.6996336996336996,0.6725352112676056,0.7290076335877863
toxigen,bart-large,9,distance,cosine,0.8212765957446808,0.701067615658363,0.6936619718309859,0.7086330935251799
toxigen,bart-large,11,uniform,minkowski,0.8170212765957446,0.6826568265682658,0.6514084507042254,0.7170542635658915
toxigen,bart-large,11,uniform,cosine,0.8127659574468085,0.6912280701754386,0.6936619718309859,0.6888111888111889
toxigen,bart-large,11,distance,minkowski,0.8191489361702128,0.6851851851851851,0.6514084507042254,0.72265625
toxigen,bart-large,11,distance,cosine,0.8170212765957446,0.693950177935943,0.6866197183098591,0.7014388489208633
toxigen,bart-large,101,uniform,minkowski,0.8148936170212766,0.6847826086956522,0.6654929577464789,0.7052238805970149
toxigen,bart-large,101,uniform,cosine,0.8117021276595745,0.6910994764397905,0.6971830985915493,0.6851211072664359
toxigen,bart-large,101,distance,minkowski,0.8138297872340425,0.6835443037974683,0.6654929577464789,0.7026022304832714
toxigen,bart-large,101,distance,cosine,0.8127659574468085,0.6923076923076923,0.6971830985915493,0.6875
toxigen,bart-large,201,uniform,minkowski,0.8170212765957446,0.6861313868613139,0.6619718309859155,0.7121212121212122
toxigen,bart-large,201,uniform,cosine,0.8095744680851064,0.6897746967071057,0.7007042253521126,0.6791808873720137
toxigen,bart-large,201,distance,minkowski,0.8180851063829787,0.6873857404021938,0.6619718309859155,0.714828897338403
toxigen,bart-large,201,distance,cosine,0.8117021276595745,0.6921739130434782,0.7007042253521126,0.6838487972508591
toxigen,bart-large,301,uniform,minkowski,0.8148936170212766,0.6813186813186813,0.6549295774647887,0.7099236641221374
toxigen,bart-large,301,uniform,cosine,0.8095744680851064,0.690846286701209,0.704225352112676,0.6779661016949152
toxigen,bart-large,301,distance,minkowski,0.8148936170212766,0.6813186813186813,0.6549295774647887,0.7099236641221374
