Tweet,Orig_Label,Vote,label
"Bad day for #Kyrgyzstan. Suspect in St. Petersburg metro bombing identified as #Kyrgyz, opposition politician Japarov reportedly kills self.",hateful,2,True
"I'm over the fucking moon we've cleared up the definition of an act of war. Now, about that slap on the wrist we just gave Syria.",hateful,3,True
RT @ynaoivw: nah bitch i hate u https://t.co/fHX8y7esMH,hateful,3,True
RT @WaysThingsWork: I fucking hate people &#128514;&#128514; https://t.co/Qz5gihmcQF,hateful,3,True
@VanJones68 You looked like a complete pathetic idiot tonight. How could you be so stupid Mr. Ghetto. My God you… https://t.co/eEpAih1GAj,hateful,3,True
"A kiosk woman tried to scam me to buy $200 skin cream. Lady, I worked at Lush...I know all the tricks.",hateful,2,True
@JuneGrayy @_BriaPlease @SchoolEm_Jonesy Stupid as fuck and mad cuz she couldn't read &#128514;&#128514;&#128514;,hateful,5,True
RT @deadhomosexual: beat my ass if i ever let a man make me look stupid,hateful,3,True
This was suppose to be HER WAR! F-35s &amp; B-52s bomb and kill Assad while fight song soars in the background &#127926;… https://t.co/sZhDJuMGdP,hateful,2,True
"If you're gearing up for the upcoming outings, please read this article chosen for our readers by Dr. Murray... https://t.co/IjpRj761C3",hateful,2,True
I hate er chase because if the Bitch that works there she's literally evil,hateful,5,True
"dangerous world we live in.........crazy dangerous, silly, illogicall, unfair world we live in......",hateful,2,True
Niggas r so annoying to me &#128580; I don't wanna fw nobody leaaaaaave me tf aloneee!,hateful,4,True
RT @1loriking: Read the comments from racist ignorant knibs worried muslims have taken over a fucking egg hunt thats what jesus di…,hateful,3,True
@andrew_lilico @brianmlucey @londinburgh @doctor_julz polls also say we should allow fewer sanctimonious twats into… https://t.co/ujOMMioAK6,hateful,2,True
RT @FunnyPicsDepot: RT if you still hate this nigga &#128514; https://t.co/S4QirK9MnV,hateful,4,True
one time freshman year a teacher pushed back a test we were supposed to have that day. this moment has ruined all my test expectations.,hateful,2,True
@DMVFollowers Aye das my mans house ji like was mad a nigga was in his yard no lie,hateful,2,True
RT @CallMe_THRASHER: Cardi B: Silly muthafucka who raised you?! me: a nigga wit a pussy how disgraceful. https://t.co/OaW45PkJjK,hateful,3,True
@nyafromfire @AfricanNimrod @SuperNjoro @MarkTerritore @Cuba_Brown Yes I. We worship de Ancestors Greatones nah girly white boy.,hateful,2,True
RT @karlaacosta22: niggas be mad when you remind them they got a girl&#128557; nigga u mad at me u in a relationship?,hateful,3,True
RT @MauryVideos: Nigga got mad af cause I asked him was he the man on the phone &#128514;&#128514; https://t.co/6oKTtvWEQf,hateful,2,True
RT @Ciao_Bella90210: If yo nigga using your account he vibing wrong! https://t.co/1ayi3PaCv9,hateful,3,True
"@johncornyn your support for a xenophobic, traitor @realdonaldtrump says so much about you. Think about it.",hateful,4,True
"Tip of the Day! Good morning from all of us at The Grime Stoppers INC in Edwardsville Il, Glen Carbon, IL and St... https://t.co/t1zKxbgBv2",hateful,2,True
RT @13ReasonsLife: this fucked me up https://t.co/WabclVn0z9,abusive,3,False
Looks like Embassy Cat – and Julian Assange – are staying in the Ecuadorian Embassy - Time Out London (blog)… https://t.co/oJ04sajGgX,normal,4,False
Art of Autumn Leaves - A Change Of Focus #AutumnLeaves #Photography https://t.co/bcFJ1WiZT8 https://t.co/35NaZmyWWg,normal,3,False
Begone you fucking bastard https://t.co/iZavraA7Vd,abusive,4,False
"i mean... we wouldn't expect anything less from him but yeah, i know what you mean https://t.co/SZMRotfMmK",normal,5,False
Just watched #fishermentokings a documentary on the beautiful photography of Olive Edis. Brilliant and inspiring to watch &#128149;,normal,5,False
"You are a force to be reckoned with wherever you go now, and ... More for Aries https://t.co/XE6TWavcNQ",spam,3,False
Drug dealers? Did you see their clothes? Drug dealers wouldn't be caught dead in those polyester rags.#Data #TheGoonies,normal,3,False
Peru floods and now the landslide in Colombia. Go to the Red Cross site to donate. https://t.co/DVpBbxe0tP,normal,3,False
The biggest problem we face today is that everyone thinks they are an artist because they made some songs and put em on the internet.,normal,5,False
"#KeepThemEngaged Join us today/Tue at 830 pm IST with our guest @Adil_Malia BLOCK your time, every Tue post office… https://t.co/qwv8RrF4HK",normal,3,False
Transanimation accounted against scarcely 70 entering the may avails in reference to chinese the screen.: Vsxr https://t.co/SIY5RZO6Va,spam,3,False
"RT @___angelicaaaa: twitter needs a fucking ""edit tweet"" button &#128580;&#129318;&#127995;‍♀️",abusive,5,False
