Dataset,Model,Whitebox,Layers_Used,Poolers_Used,Seed,predict_accuracy,predict_f1,predict_precision,predict_recall
toxigen,bart-large,SVM,All,mean_with_attention,42,0.8063829787234043,0.638888888888889,0.7318181818181818,0.5669014084507042
toxigen,bart-large,Decision Tree,All,mean_with_attention,42,0.776595744680851,0.4852941176470589,0.7983870967741935,0.3485915492957746
toxigen,bart-large,KNN,All,mean_with_attention,42,0.8095744680851064,0.6577437858508604,0.7196652719665272,0.6056338028169014
toxigen,bart-large,K-means,All,mean_with_attention,42,0.8074468085106383,0.6641929499072355,0.7019607843137254,0.6302816901408451
toxigen,bart-large,SVM,Embedding Only,mean_with_attention,42,0.7170212765957447,0.4411764705882352,0.546875,0.3697183098591549
toxigen,bart-large,Decision Tree,Embedding Only,mean_with_attention,42,0.6978723404255319,0.0,0.0,0.0
toxigen,bart-large,KNN,Embedding Only,mean_with_attention,42,0.7202127659574468,0.4439746300211417,0.5555555555555556,0.3697183098591549
toxigen,bart-large,K-means,Embedding Only,mean_with_attention,42,0.6978723404255319,0.0,0.0,0.0
toxigen,bart-large,SVM,Embedding + Last,mean_with_attention,42,0.7489361702127659,0.407035175879397,0.7105263157894737,0.2852112676056338
toxigen,bart-large,Decision Tree,Embedding + Last,mean_with_attention,42,0.6978723404255319,0.0,0.0,0.0
toxigen,bart-large,KNN,Embedding + Last,mean_with_attention,42,0.7606382978723404,0.4498777506112469,0.736,0.323943661971831
toxigen,bart-large,K-means,Embedding + Last,mean_with_attention,42,0.6978723404255319,0.0,0.0,0.0
toxigen,bart-large,SVM,Last Only,mean_with_attention,42,0.8042553191489362,0.6605166051660517,0.6937984496124031,0.6302816901408451
toxigen,bart-large,Decision Tree,Last Only,mean_with_attention,42,0.8117021276595745,0.6589595375722543,0.7276595744680852,0.602112676056338
toxigen,bart-large,KNN,Last Only,mean_with_attention,42,0.8159574468085107,0.6860254083484574,0.7078651685393258,0.6654929577464789
toxigen,bart-large,K-means,Last Only,mean_with_attention,42,0.798936170212766,0.6780238500851788,0.6567656765676567,0.7007042253521126
toxigen,bart-large,SVM,All,mean_with_attention,365,0.7723404255319148,0.6219081272084805,0.624113475177305,0.6197183098591549
toxigen,bart-large,Decision Tree,All,mean_with_attention,365,0.7276595744680852,0.2195121951219512,0.8181818181818182,0.1267605633802817
toxigen,bart-large,KNN,All,mean_with_attention,365,0.7829787234042553,0.554585152838428,0.7298850574712644,0.4471830985915493
toxigen,bart-large,K-means,All,mean_with_attention,365,0.6978723404255319,0.0,0.0,0.0
toxigen,bart-large,SVM,Embedding Only,mean_with_attention,365,0.7202127659574468,0.4392324093816631,0.5567567567567567,0.3626760563380282
toxigen,bart-large,Decision Tree,Embedding Only,mean_with_attention,365,0.6978723404255319,0.0,0.0,0.0
toxigen,bart-large,KNN,Embedding Only,mean_with_attention,365,0.7138297872340426,0.445360824742268,0.5373134328358209,0.380281690140845
toxigen,bart-large,K-means,Embedding Only,mean_with_attention,365,0.6978723404255319,0.0,0.0,0.0
toxigen,bart-large,SVM,Embedding + Last,mean_with_attention,365,0.7244680851063829,0.2621082621082621,0.6865671641791045,0.1619718309859155
toxigen,bart-large,Decision Tree,Embedding + Last,mean_with_attention,365,0.6978723404255319,0.0,0.0,0.0
toxigen,bart-large,KNN,Embedding + Last,mean_with_attention,365,0.747872340425532,0.4060150375939849,0.7043478260869566,0.2852112676056338
toxigen,bart-large,K-means,Embedding + Last,mean_with_attention,365,0.6978723404255319,0.0,0.0,0.0
toxigen,bart-large,SVM,Last Only,mean_with_attention,365,0.752127659574468,0.4439140811455848,0.6888888888888889,0.3274647887323944
toxigen,bart-large,Decision Tree,Last Only,mean_with_attention,365,0.7680851063829788,0.582375478927203,0.6386554621848739,0.5352112676056338
toxigen,bart-large,KNN,Last Only,mean_with_attention,365,0.7882978723404256,0.6150870406189556,0.6824034334763949,0.5598591549295775
toxigen,bart-large,K-means,Last Only,mean_with_attention,365,0.7319148936170212,0.625,0.5412371134020618,0.7394366197183099
toxigen,bart-large,SVM,All,mean_with_attention,469,0.7936170212765957,0.6535714285714286,0.6630434782608695,0.6443661971830986
toxigen,bart-large,Decision Tree,All,mean_with_attention,469,0.7702127659574468,0.4345549738219895,0.8469387755102041,0.2922535211267605
toxigen,bart-large,KNN,All,mean_with_attention,469,0.8,0.5746606334841629,0.8037974683544303,0.4471830985915493
toxigen,bart-large,K-means,All,mean_with_attention,469,0.6978723404255319,0.0,0.0,0.0
toxigen,bart-large,SVM,Embedding Only,mean_with_attention,469,0.7191489361702128,0.4382978723404255,0.553763440860215,0.3626760563380282
toxigen,bart-large,Decision Tree,Embedding Only,mean_with_attention,469,0.6978723404255319,0.0,0.0,0.0
toxigen,bart-large,KNN,Embedding Only,mean_with_attention,469,0.7138297872340426,0.445360824742268,0.5373134328358209,0.380281690140845
toxigen,bart-large,K-means,Embedding Only,mean_with_attention,469,0.6978723404255319,0.0,0.0,0.0
toxigen,bart-large,SVM,Embedding + Last,mean_with_attention,469,0.7436170212765958,0.3804627249357326,0.7047619047619048,0.2605633802816901
toxigen,bart-large,Decision Tree,Embedding + Last,mean_with_attention,469,0.6978723404255319,0.0,0.0,0.0
toxigen,bart-large,KNN,Embedding + Last,mean_with_attention,469,0.7627659574468085,0.4296675191815857,0.7850467289719626,0.2957746478873239
toxigen,bart-large,K-means,Embedding + Last,mean_with_attention,469,0.6978723404255319,0.0,0.0,0.0
toxigen,bart-large,SVM,Last Only,mean_with_attention,469,0.7861702127659574,0.622889305816135,0.6666666666666666,0.5845070422535211
toxigen,bart-large,Decision Tree,Last Only,mean_with_attention,469,0.8106382978723404,0.65234375,0.7324561403508771,0.5880281690140845
toxigen,bart-large,KNN,Last Only,mean_with_attention,469,0.8191489361702128,0.6558704453441296,0.7714285714285715,0.5704225352112676
toxigen,bart-large,K-means,Last Only,mean_with_attention,469,0.8,0.68561872909699,0.6528662420382165,0.721830985915493
toxigen,bart-large,SVM,All,mean_with_attention,4399,0.8063829787234043,0.6666666666666666,0.6946564885496184,0.6408450704225352
toxigen,bart-large,Decision Tree,All,mean_with_attention,4399,0.7265957446808511,0.2140672782874617,0.813953488372093,0.1232394366197183
toxigen,bart-large,KNN,All,mean_with_attention,4399,0.7968085106382978,0.5764966740576497,0.7784431137724551,0.4577464788732394
