Dataset,Model,Whitebox,Layers_Used,Poolers_Used,predict_accuracy,predict_f1,predict_precision,predict_recall
toxigen,bart-large,Agglomerative Hierarchical Clustering,All,mean_with_attention,0.7946808510638298,0.5831533477321814,0.7541899441340782,0.4753521126760563
toxigen,bart-large,Agglomerative Hierarchical Clustering,Embedding Only,mean_with_attention,0.6978723404255319,0.0,0.0,0.0
toxigen,bart-large,Agglomerative Hierarchical Clustering,Embedding + Last,mean_with_attention,0.6978723404255319,0.0,0.0,0.0
toxigen,bart-large,Agglomerative Hierarchical Clustering,Last Only,mean_with_attention,0.8106382978723404,0.6727941176470589,0.7038461538461539,0.6443661971830986
toxigen,deberta-large,Agglomerative Hierarchical Clustering,All,mean_with_attention,0.6978723404255319,0.0,0.0,0.0
toxigen,deberta-large,Agglomerative Hierarchical Clustering,Embedding Only,mean_with_attention,0.6978723404255319,0.08974358974358973,0.5,0.04929577464788732
toxigen,deberta-large,Agglomerative Hierarchical Clustering,Embedding + Last,mean_with_attention,0.7106382978723405,0.087248322147651,0.9285714285714286,0.045774647887323945
toxigen,deberta-large,Agglomerative Hierarchical Clustering,Last Only,mean_with_attention,0.823404255319149,0.7014388489208633,0.7169117647058824,0.6866197183098591
toxigen,flan-t5-large,Agglomerative Hierarchical Clustering,All,mean_with_attention,0.8042553191489362,0.6377952755905512,0.7232142857142857,0.5704225352112676
toxigen,flan-t5-large,Agglomerative Hierarchical Clustering,Embedding Only,mean_with_attention,0.6978723404255319,0.0,0.0,0.0
toxigen,flan-t5-large,Agglomerative Hierarchical Clustering,Embedding + Last,mean_with_attention,0.6978723404255319,0.0,0.0,0.0
toxigen,flan-t5-large,Agglomerative Hierarchical Clustering,Last Only,mean_with_attention,0.8117021276595745,0.661567877629063,0.7238493723849372,0.6091549295774648
toxigen,SentenceBert,Agglomerative Hierarchical Clustering,,,0.6978723404255319,0.0,0.0,0.0
toxigen,FastText-300,Agglomerative Hierarchical Clustering,,,0.6978723404255319,0.0,0.0,0.0
toxigen,Google-news-300,Agglomerative Hierarchical Clustering,,,0.6978723404255319,0.0,0.0,0.0
toxigen,Glove-Twitter-200,Agglomerative Hierarchical Clustering,,,0.6978723404255319,0.0,0.0,0.0
