prediction_method,layers_to_save_desc,poolers_to_use_desc,K,dist_to_weight_fct
nonconformal,All,mean_with_attention,1,uniform
nonconformal,All,mean_with_attention,1,inverse
nonconformal,All,mean_with_attention,1,inverse_squared
nonconformal,All,mean_with_attention,3,uniform
nonconformal,All,mean_with_attention,3,inverse
nonconformal,All,mean_with_attention,3,inverse_squared
nonconformal,All,mean_with_attention,5,uniform
nonconformal,All,mean_with_attention,5,inverse
nonconformal,All,mean_with_attention,5,inverse_squared
nonconformal,All,mean_with_attention,7,uniform
nonconformal,All,mean_with_attention,7,inverse
nonconformal,All,mean_with_attention,7,inverse_squared
nonconformal,All,mean_with_attention,9,uniform
nonconformal,All,mean_with_attention,9,inverse
nonconformal,All,mean_with_attention,9,inverse_squared
nonconformal,All,mean_with_attention,99,uniform
nonconformal,All,mean_with_attention,99,inverse
nonconformal,All,mean_with_attention,99,inverse_squared
nonconformal,All,mean_with_attention,999,uniform
nonconformal,All,mean_with_attention,999,inverse
nonconformal,All,mean_with_attention,999,inverse_squared
nonconformal,All,mean_with_attention_and_cls,1,uniform
nonconformal,All,mean_with_attention_and_cls,1,inverse
nonconformal,All,mean_with_attention_and_cls,1,inverse_squared
nonconformal,All,mean_with_attention_and_cls,3,uniform
nonconformal,All,mean_with_attention_and_cls,3,inverse
nonconformal,All,mean_with_attention_and_cls,3,inverse_squared
nonconformal,All,mean_with_attention_and_cls,5,uniform
nonconformal,All,mean_with_attention_and_cls,5,inverse
nonconformal,All,mean_with_attention_and_cls,5,inverse_squared
nonconformal,All,mean_with_attention_and_cls,7,uniform
nonconformal,All,mean_with_attention_and_cls,7,inverse
nonconformal,All,mean_with_attention_and_cls,7,inverse_squared
nonconformal,All,mean_with_attention_and_cls,9,uniform
nonconformal,All,mean_with_attention_and_cls,9,inverse
nonconformal,All,mean_with_attention_and_cls,9,inverse_squared
nonconformal,All,mean_with_attention_and_cls,99,uniform
nonconformal,All,mean_with_attention_and_cls,99,inverse
nonconformal,All,mean_with_attention_and_cls,99,inverse_squared
nonconformal,All,mean_with_attention_and_cls,999,uniform
nonconformal,All,mean_with_attention_and_cls,999,inverse
nonconformal,All,mean_with_attention_and_cls,999,inverse_squared
nonconformal,Embedding Only,mean_with_attention,1,uniform
nonconformal,Embedding Only,mean_with_attention,1,inverse
nonconformal,Embedding Only,mean_with_attention,1,inverse_squared
nonconformal,Embedding Only,mean_with_attention,3,uniform
nonconformal,Embedding Only,mean_with_attention,3,inverse
nonconformal,Embedding Only,mean_with_attention,3,inverse_squared
nonconformal,Embedding Only,mean_with_attention,5,uniform
nonconformal,Embedding Only,mean_with_attention,5,inverse
nonconformal,Embedding Only,mean_with_attention,5,inverse_squared
nonconformal,Embedding Only,mean_with_attention,7,uniform
nonconformal,Embedding Only,mean_with_attention,7,inverse
nonconformal,Embedding Only,mean_with_attention,7,inverse_squared
nonconformal,Embedding Only,mean_with_attention,9,uniform
nonconformal,Embedding Only,mean_with_attention,9,inverse
nonconformal,Embedding Only,mean_with_attention,9,inverse_squared
nonconformal,Embedding Only,mean_with_attention,99,uniform
nonconformal,Embedding Only,mean_with_attention,99,inverse
nonconformal,Embedding Only,mean_with_attention,99,inverse_squared
nonconformal,Embedding Only,mean_with_attention,999,uniform
nonconformal,Embedding Only,mean_with_attention,999,inverse
nonconformal,Embedding Only,mean_with_attention,999,inverse_squared
nonconformal,Embedding Only,mean_with_attention_and_cls,1,uniform
nonconformal,Embedding Only,mean_with_attention_and_cls,1,inverse
nonconformal,Embedding Only,mean_with_attention_and_cls,1,inverse_squared
nonconformal,Embedding Only,mean_with_attention_and_cls,3,uniform
nonconformal,Embedding Only,mean_with_attention_and_cls,3,inverse
nonconformal,Embedding Only,mean_with_attention_and_cls,3,inverse_squared
nonconformal,Embedding Only,mean_with_attention_and_cls,5,uniform
nonconformal,Embedding Only,mean_with_attention_and_cls,5,inverse
nonconformal,Embedding Only,mean_with_attention_and_cls,5,inverse_squared
nonconformal,Embedding Only,mean_with_attention_and_cls,7,uniform
nonconformal,Embedding Only,mean_with_attention_and_cls,7,inverse
nonconformal,Embedding Only,mean_with_attention_and_cls,7,inverse_squared
nonconformal,Embedding Only,mean_with_attention_and_cls,9,uniform
nonconformal,Embedding Only,mean_with_attention_and_cls,9,inverse
nonconformal,Embedding Only,mean_with_attention_and_cls,9,inverse_squared
nonconformal,Embedding Only,mean_with_attention_and_cls,99,uniform
nonconformal,Embedding Only,mean_with_attention_and_cls,99,inverse
nonconformal,Embedding Only,mean_with_attention_and_cls,99,inverse_squared
nonconformal,Embedding Only,mean_with_attention_and_cls,999,uniform
nonconformal,Embedding Only,mean_with_attention_and_cls,999,inverse
nonconformal,Embedding Only,mean_with_attention_and_cls,999,inverse_squared
nonconformal,Embedding + Last,mean_with_attention,1,uniform
nonconformal,Embedding + Last,mean_with_attention,1,inverse
nonconformal,Embedding + Last,mean_with_attention,1,inverse_squared
nonconformal,Embedding + Last,mean_with_attention,3,uniform
nonconformal,Embedding + Last,mean_with_attention,3,inverse
nonconformal,Embedding + Last,mean_with_attention,3,inverse_squared
nonconformal,Embedding + Last,mean_with_attention,5,uniform
nonconformal,Embedding + Last,mean_with_attention,5,inverse
nonconformal,Embedding + Last,mean_with_attention,5,inverse_squared
